10/26/2020,"1,619.00","1,662.92","1,600.00","1,643.00","6,601,600","-2,062,992,888",-72.33,-4.22%,,3.93%,/,/
10/23/2020,"1,740.78","1,747.59","1,714.00","1,715.33","1,929,200","-954,979,296",-27.17,-1.56%,,1.96%,/,/
10/22/2020,"1,730.00","1,745.00","1,715.51","1,742.50","2,248,100","-397,237,296",9.17,0.53%,,1.72%,/,/
10/21/2020,"1,734.10","1,742.15","1,723.00","1,733.33","1,890,200","-1,019,609,296",-0.67,-0.04%,,1.11%,/,/
10/20/2020,"1,699.99","1,734.97","1,695.00","1,734.00","2,773,500","492,840,704",35,2.06%,,2.36%,/,/
10/19/2020,"1,725.00","1,733.98","1,691.90","1,699.00","1,922,700","-1,010,583,296",-13,-0.76%,,2.49%,/,/
10/16/2020,"1,725.00","1,734.58","1,703.00","1,712.00","1,737,800","-1,303,720,296",-13,-0.75%,,1.85%,/,/
10/15/2020,"1,721.13","1,735.00","1,721.00","1,725.00","1,620,500","-1,493,716,296",-4,-0.23%,,0.81%,/,/
10/14/2020,"1,740.00","1,746.98","1,726.00","1,729.00","2,048,200","-740,650,296",-10,-0.58%,,1.22%,/,/
10/13/2020,"1,750.62","1,750.62","1,735.00","1,739.00","2,294,400","-299,406,296",-11.61,-0.66%,,0.90%,/,/
10/12/2020,"1,700.00","1,750.61","1,700.00","1,750.61","4,373,000","-991,946,592",54.61,3.22%,,2.98%,/,/
10/09/2020,"1,692.00","1,706.42","1,688.00","1,696.00","3,424,000","1,522,313,704",27.5,1.65%,,1.09%,/,/
09/30/2020,"1,660.00","1,691.90","1,660.00","1,668.50","2,708,800","241,045,704",16.2,0.98%,,1.92%,/,/
09/29/2020,"1,669.33","1,669.40","1,652.30","1,652.30","1,743,100","-1,399,885,296",-8.7,-0.52%,,1.03%,/,/
09/28/2020,"1,635.19","1,668.50","1,635.19","1,661.00","2,423,300","-275,326,296",25.89,1.58%,,2.04%,/,/
09/25/2020,"1,630.00","1,650.00","1,625.00","1,635.11","2,258,300","-594,123,296",5.79,0.36%,,1.54%,/,/
09/24/2020,"1,635.97","1,658.88","1,626.80","1,629.32","3,005,100","620,425,704",-20.66,-1.25%,,1.97%,/,/
09/23/2020,"1,635.00","1,666.01","1,621.02","1,649.98","3,572,600","1,583,724,704",-15.71,-0.94%,,2.78%,/,/
09/22/2020,"1,650.00","1,686.98","1,650.00","1,665.69","2,326,600","-404,896,296",-1.11,-0.07%,,2.24%,/,/
09/21/2020,"1,692.76","1,692.76","1,666.66","1,666.80","2,244,500","-538,201,296",-28.2,-1.66%,,1.57%,/,/
09/18/2020,"1,665.00","1,695.00","1,635.01","1,695.00","4,720,200","-736,260,592",24.48,1.47%,,3.67%,/,/
09/17/2020,"1,700.00","1,700.00","1,658.00","1,670.52","6,368,000","2,093,416,408",-54.58,-3.16%,,2.53%,/,/
09/16/2020,"1,760.00","1,764.81","1,719.00","1,725.10","2,251,600","-378,509,296",-34.9,-1.98%,,2.66%,/,/
09/15/2020,"1,769.99","1,769.99","1,747.75","1,760.00","2,082,100","-640,094,296",-6,-0.34%,,1.27%,/,/
09/14/2020,"1,745.00","1,769.00","1,730.58","1,766.00","3,105,700","1,153,221,704",33,1.90%,,2.22%,/,/
09/11/2020,"1,688.00","1,736.00","1,688.00","1,733.00","3,108,800","1,044,916,704",27.2,1.59%,,2.84%,/,/
09/10/2020,"1,703.74","1,720.00","1,700.00","1,705.80","2,477,900","-58,272,296",17.8,1.05%,,1.18%,/,/
09/09/2020,"1,699.67","1,711.00","1,680.04","1,688.00","2,596,400","106,839,704",-23.4,-1.37%,3,1.84%,/,/
09/08/2020,"1,732.00","1,737.80","1,677.07","1,711.40","3,447,300","1,570,995,704",-12.1,-0.70%,,3.62%,/,/
